"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","original_name","CITY","COUNTY_AREA_NAME"
"139","CT","guilford","07300500600000",32150,2020,187956536,105535363,7705299,8635977,0,3200000,24231414,0,36029655,0,2618828,5337949,19327199,364309,97330436,5061661,117298232,0,0,0,122359893,"1600000US0934950","town of guilford","GUILFORD","NEW HAVEN"
"140","CT","manchester","07300201400000",32128,2020,695413000,133414000,17603000,0,0,42105000,105201000,0,355261000,0,12834000,31234000,79570000,17678000,170974000,-21938000,321394000,0,0,0,299456000,"1600000US0944700","town of manchester","MANCHESTER","HARTFORD"
"141","CT","cromwell","07300400300000",32146,2020,44822960,23990604,6474579,0,0,335661,9297732,0,2605823,0,1565648,4755977,11779381,1710793,44797845,1842399,61201597,0,0,0,63043996,"1600000US0918080","town of cromwell","CROMWELL","MIDDLESEX"
"142","CT","newington","07300201600000",32129,2020,107699000,28287000,8445000,511000,0,0,55478000,0,12539000,0,2439000,3862000,29589000,686000,108668000,7414000,135391000,0,0,0,142805000,"1600000US0952140","town of newington","NEWINGTON","HARTFORD"
"143","CT","marlborough","07300201500000",68284,2020,11506278,1978666,891219,173730,7420013,0,0,0,444318,0,598332,892387,5334661,1886155,22556576,3765357,26904422,0,0,0,30669779,"1600000US0945820","town of marlborough","MARLBOROUGH","HARTFORD"
"144","CT","seymour","07300501600000",1151596,2020,140552537,43871260,4889330,8997307,0,105000,18202537,0,57413353,0,3907627,3920383,20894972,240684,44927414,-8792467,78775920,0,0,0,69983453,"1600000US0967610","town of seymour","SEYMOUR","NEW HAVEN"
"145","CT","trumbull","07300101600000",32120,2020,281710798,140106458,20602824,6186147,0,8700000,68683190,0,29297563,0,5498253,20085123,33891907,16773496,164086614,9179240,225657900,0,0,0,234837140,"1600000US0977200","town of trumbull","TRUMBULL","FAIRFIELD"
"146","CT","berlin","07300200200000",32122,2020,106369205,70732223,6291824,0,0,12537642,6927850,0,8909489,0,575351,9937960,16356440,2898815,80834515,11075704,98952026,4865882,87098,0,110027730,"1600000US0904300","town of berlin","BERLIN","HARTFORD"
"147","CT","east haddam","07300400600000",64785,2020,34390150,23226424,1229108,0,0,6585000,721070,11125,1222779,0,1198385,1549136,9110073,2714863,28258248,4182762,37449558,0,0,0,41632320,"1600000US0922280","town of east haddam","EAST HADDAM","MIDDLESEX"
"148","CT","fairfield","07300100600000",1266323,2020,470706000,179396000,34152000,0,0,15356000,106214000,0,113435000,0,5069000,30684000,39603000,5748000,300981000,3319000,373697000,0,0,0,377016000,"1600000US0926620","town of fairfield","FAIRFIELD","FAIRFIELD"
"149","CT","new canaan","07300100900000",46182,2020,132599803,110426726,8865538,0,0,1148030,0,8347621,8285859,0,2664301,10769092,17799875,17143,142631860,5760006,165457964,0,150797,0,171217970,"1600000US0950580","town of new canaan","NEW CANAAN","FAIRFIELD"
"150","CT","ledyard","07300600800000",32160,2020,83692589,37247697,6768595,97087,0,19769236,5178836,0,12755522,0,1771616,5726820,24907913,1261195,41735522,380515,73250935,0,0,0,73631450,"1600000US0942600","town of ledyard","LEDYARD","NEW LONDON"
"151","CT","north haven","07300501200000",1266324,2020,248265582,92838398,7177166,0,0,18884319,32329318,0,88261832,0,6149879,9128303,15364921,3456432,92875656,7400229,113425083,0,0,0,120825312,"1600000US0954870","town of north haven","NORTH HAVEN","NEW HAVEN"
"152","CT","wolcott","07300502000000",32156,2020,86690459,35689257,4008922,904777,0,0,12690311,0,29464422,0,2698115,3921784,23445503,2345886,42335848,4186374,67862647,8441242,0,0,72049021,"1600000US0987560","town of wolcott","WOLCOTT","NEW HAVEN"
"153","CT","simsbury","07300201900000",32132,2020,82483268,33801026,6575814,0,8568168,0,24121918,0,8338717,0,1037625,8784849,29090359,3842029,94758273,6636536,129838974,0,0,0,136475510,"1600000US0968940","town of simsbury","SIMSBURY","HARTFORD"
"154","CT","enfield","07300200900000",32125,2020,226557000,111036000,34527000,144000,0,17500000,7954000,0,37832000,0,7193000,15029000,58580000,3420000,103206000,8621000,171614000,0,0,0,180235000,"1600000US0925990","town of enfield","ENFIELD","HARTFORD"
"155","CT","colchester","07300600200000",32157,2020,46399005,23866224,3163240,0,0,1649349,619107,0,8714027,0,3719685,5447007,20898651,698140,41533783,-224279,68801860,0,88898,0,68577581,"1600000US0915910","town of colchester","COLCHESTER","NEW LONDON"
"156","CT","ridgefield","07300101300000",32118,2020,110708031,61650585,6620248,332597,0,10291161,4587686,0,26124420,0,1101334,13687629,18334225,165808,137223916,1941862,167469716,0,0,0,169411578,"1600000US0963970","town of ridgefield","RIDGEFIELD","FAIRFIELD"
"157","CT","bloomfield","07300200300000",43583,2020,231085373,62986534,8075746,2406242,0,9730000,39064383,0,87450063,0,4742155,7142804,24481098,4919885,82851253,-379698,119774738,0,0,0,119395040,"1600000US0905910","town of bloomfield","BLOOMFIELD","HARTFORD"
"158","CT","windsor locks","07300202600000",32139,2020,51024378,25135667,3157808,859940,0,3993865,16414093,0,0,148928,1347158,5811015,16801889,985752,45789053,1590559,67797150,0,0,0,69387709,"1600000US0987070","town of windsor locks","WINDSOR LOCKS","HARTFORD"
"159","CT","south windsor","07300202100000",32134,2020,149561898,83170473,10464486,3185054,0,18000000,16321187,0,9424794,0,8995904,12192059,32169037,13098762,111060333,21425682,147094509,0,0,0,168520191,"1600000US0971390","town of south windsor","SOUTH WINDSOR","HARTFORD"
"160","CT","southington","07300202000000",32133,2020,265374000,85876000,12907000,10287000,26022000,9659000,55389000,0,48873000,0,7523000,16557000,48489000,15725000,129136000,6682000,203225000,0,0,0,209907000,"1600000US0970550","town of southington","SOUTHINGTON","HARTFORD"
"161","CT","plymouth","07300301600000",32142,2020,56244042,19661814,1757777,500857,0,904667,15075383,0,16921232,0,1159312,3246632,16163312,699594,31384456,642353,50851641,0,0,0,51493994,"1600000US0960750","town of plymouth","TERRYVILLE","LITCHFIELD"
"162","CT","wallingford","07300501800000",1266170,2020,219695000,40349000,25534000,0,0,8523000,78014000,0,43935000,0,16022000,91479000,47067000,8785000,138100000,6196000,279235000,0,0,0,285431000,"1600000US0978740","town of wallingford","WALLINGFORD","NEW HAVEN"
"163","CT","darien","07300100400000",32112,2020,99581719,76605651,6585947,0,0,26745,10019639,0,3676208,0,2667529,13058156,26434950,58876,141677358,531224,180698116,0,0,0,181229340,"1600000US0918850","town of darien","DARIEN","FAIRFIELD"
