"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","population","city_place"
"5782","SC","orangeburg","41203801200000",65041,2020,124932121,18904086,25104221,630540,0,23107838,46011505,0,8980937,0,2192994,104480785,701919,4010031,9784147,8098109,110878773,0,0,0,118976882,"1600000US4553080",13240,"Orangeburg city"
"5783","NJ","hopatcong","31201900500000",121725,2020,103338969,16365000,0,0,10538844,5324940,16968277,0,0,0,182529,0,0,0,60020487,2357667,57662820,0,0,0,60020487,"1600000US3432910",14362,"Hopatcong borough"
"5784","SC","west columbia","41203201200000",128163,2020,99241521,56160570,4534936,1297478,0,0,22652903,0,1454183,0,1150992,25940392,272301,1063374,8995487,4779595,31491959,0,0,0,36271554,"1600000US4575850",17416,"West Columbia city"
"5785","TX","anna","44204300200000",88057,2020,65823403,56456071,7831924,0,0,0,1098811,0,85220,0,351377,21124061,616207,19898329,11693018,27547223,25784392,0,0,0,53331615,"1600000US4803300",16896,"Anna city"
"5786","NM","santa fe","32202600100000",42832,2020,512007405,217961805,11503900,0,0,36824991,161011744,0,49562956,0,6196530,97460425,8968249,0,146663690,13584195,239508169,0,0,0,253092364,"1600000US3570500",87505,"Santa Fe city"
"5787","TX","balch springs","44205700200000",88066,2020,34245835,14384100,4703988,3225867,0,0,6321165,0,438228,0,5041433,15708874,1308043,1358644,16855415,4539780,30691196,0,0,0,35230976,"1600000US4805372",27685,"Balch Springs city"
"5788","IL","collinsville","14206000400000",71667,2020,138454743,35757985,4105476,2134493,17801954,378038,53421108,833017,21169906,0,2051481,15008038,2670929,991919,27123841,-22485602,68280329,0,0,0,45794727,"1600000US1715599",24366,"Collinsville city"
"5789","NC","mebane","34200100400000",123085,2020,31823327,0,3697528,0,0,0,3857819,0,7870810,0,541228,9108969,957002,9328440,17164239,9826250,26732400,0,0,0,36558650,"1600000US3742240",17797,"Mebane city"
"5790","NV","fernley","29201000200000",65191,2020,79839742,66383830,3521676,0,0,0,7139248,0,356709,0,381277,17597597,2163973,2974909,9304232,10612930,21427781,0,0,0,32040711,"1600000US3224900",22895,"Fernley city"
"5791","TX","cibolo","44209480100000",88113,2020,76062396,55533022,7606471,1249172,0,0,1841160,0,2445940,0,648738,17481567,928556,7301370,16930795,11795475,30846813,0,0,0,42642288,"1600000US4814920",32276,"Cibolo city"
"5792","WA","lacey","48203470100000",89131,2020,38608696,14600732,10407287,41627,0,0,6180044,4152524,5134868,0,2244139,55466914,5948362,12992180,44187634,23263372,95331718,19499283,873580,0,118595090,"1600000US5336745",53526,"Lacey city"
"5793","WI","mequon","50204650100000",131411,2020,56994774,38149293,2905647,53727,0,13030000,426268,2185677,1735283,0,694556,10653092,1941753,1282195,26020310,6450082,33447268,0,0,0,39897350,"1600000US5551150",25142,"Mequon city"
"5794","NC","morrisville","34209200700000",103087,2020,46857153,26742739,4053371,0,0,3305820,5980767,0,5564164,0,1210292,3612166,643010,734947,31563747,4743807,31810063,0,0,0,36553870,"1600000US3744520",29630,"Morrisville town"
"5795","NC","harrisburg","34201390100000",81699,2020,38471966,0,2853460,0,0,32399582,2676864,0,0,0,542060,11301775,1773157,1662120,13139497,5718238,22158311,0,0,0,27876549,"1600000US3729800",18967,"Harrisburg town"
"5796","NJ","madison","31201400900000",121675,2020,105530044,14266000,0,0,6529675,0,32622773,0,0,0,0,0,0,0,118246619,10663298,107583321,0,0,0,118246619,"1600000US3442510",16937,"Madison borough"
"5797","TX","lockhart","44202800100000",88359,2020,32732477,22211268,2786579,69566,0,2536344,3612152,0,911303,0,605265,21462430,1082046,280805,8257916,1183865,29899332,0,0,0,31083197,"1600000US4843240",14379,"Lockhart city"
"5798","TX","murphy","44204350200000",88385,2020,60270805,49813705,3583231,242367,0,3180000,2672874,0,273480,0,505148,14934499,1232106,131790,17601332,3484492,30415235,0,0,0,33899727,"1600000US4850100",21013,"Murphy city"
"5799","TX","princeton","44204301000000",88416,2020,56623329,47930121,5222539,1802014,0,0,627432,0,113865,0,605100,24298666,1138896,28592204,10122882,39987104,24165544,0,0,0,64152648,"1600000US4859576",17027,"Princeton city"
"5800","TX","big spring","44211400100000",88081,2020,59811939,17178262,6235445,3155074,0,0,21165659,0,5899900,0,2333021,27095977,1381942,1594588,19548495,1565566,48055436,0,0,0,49621002,"1600000US4808236",26144,"Big Spring city"
"5801","PA","west chester","39201501500000",126351,2020,35057765,23712261,2975520,0,0,0,1740331,0,5772355,0,857298,13625896,704081,216080,13125685,3216210,24455532,0,0,0,27671742,"1600000US4282704",18671,"West Chester borough"
"5802","WI","muskego","50206870100000",131594,2020,48469024,0,2866025,0,39298530,2251347,0,1943531,627662,0,2337883,13740136,1809570,5071164,16415614,5786635,31249849,0,0,0,37036484,"1600000US5555275",25032,"Muskego city"
"5803","WA","ridgefield","48200600400000",89281,2020,32779171,20527880,6437474,1241397,2658006,0,1029146,493768,0,0,384474,12031499,186971,17792056,8869152,18599332,20280347,0,0,0,38879679,"1600000US5358410",10319,"Ridgefield city"
"5804","TX","hutto","44224600500000",88317,2020,270425966,137425145,9663775,472153,24455000,8591223,3305086,115956,484338,0,207591,18484260,23710,2869170,23624659,-2132560,47134359,0,0,0,45001799,"1600000US4835624",27577,"Hutto city"
"5805","CA","red bluff","05205200200000",67750,2020,24360649,0,1635816,408940,0,0,17781562,0,3213594,0,1320737,6608298,1613487,168953,10956614,-1706850,21054202,0,0,0,19347352,"1600000US0659892",14710,"Red Bluff city"
"5806","CA","la palma","05203000600000",146481,2020,24477730,0,6240156,0,0,0,16954185,0,749370,0,534019,4786820,1770316,296210,11159249,469809,17542786,0,0,0,18012595,"1600000US0640256",15581,"La Palma city"
"5807","WI","ashwaubenon","50200560100000",131114,2020,70996489,66190771,1963001,0,0,0,0,2354944,0,0,2842717,12121379,1390164,1306199,21111342,1679145,34249939,0,0,0,35929084,"1600000US5503425",16991,"Ashwaubenon village"
"5808","WI","waunakee","50201302400000",131190,2020,49117567,41931342,3621141,0,1008548,0,0,1351430,813041,0,1722260,20506745,1601620,11059624,14540975,12192802,35516162,0,106372,176770,47708964,"1600000US5584350",14879,"Waunakee village"
"5809","WI","cudahy","50204100300000",131368,2020,48530536,30426693,1845748,0,0,0,0,2622258,15265855,0,992240,11046097,2330614,31382,19865151,8443522,24829722,0,0,0,33273244,"1600000US5517975",18204,"Cudahy city"
"5810","CA","fillmore","05205600100000",67287,2020,68705513,54053143,6273617,107946,0,0,6401403,0,1169281,0,607563,13376951,2965244,2386448,6344475,4484491,20588627,0,0,0,25073118,"1600000US0624092",16419,"Fillmore city"
"5811","CA","king city","05202700500000",67434,2020,13971286,3747520,1066996,2407300,0,79294,6232004,0,0,0,438172,6687769,1732506,255018,8166675,486161,16355807,0,0,0,16841968,"1600000US0638520",13332,"King City city"
"5812","CA","san carlos","05204101100000",67801,2020,61759896,3166658,9777957,0,0,0,45532665,0,1781200,0,889716,28646640,6190174,3793984,46627409,15132735,70125472,0,0,0,85258207,"1600000US0665070",30722,"San Carlos city"
"5813","TX","sugar land","44207900600000",44403,2020,549735159,496355177,17436113,0,0,1095996,22215813,0,7210423,0,5258901,85991510,3094430,13123552,111570567,-6080368,219860427,0,0,0,213780059,"1600000US4870808",111026,"Sugar Land city"
"5814","CA","maywood","05201903000000",64761,2020,37334605,2660000,4121404,0,0,0,18123469,0,2880333,0,58581,1263018,2148773,1709191,11323648,1379695,15064935,0,0,0,16444630,"1600000US0646492",25138,"Maywood city"
