"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","name_census","state.name","population"
"4908","OK","tecumseh","37206300800000",125916,2021,6793245,3667646,49115,0,0,2513132,0,0,0,0,0,6725248,406326,798269,2586005,1519116,8996732,6663963,20377,0,10515848,"4072650","city of tecumseh",162,"40","000","72650","00000",0,"A","tecumseh city","Oklahoma",6304
"4909","OK","mcloud","37206300300000",125912,2021,8685213,0,2971,248359,0,7495153,0,0,0,0,0,1818648,527792,105125,1631612,620855,3462322,1528667,69,0,4083177,"4045350","city of mcloud",162,"40","000","45350","00000",0,"A","mcloud city","Oklahoma",4351
"4910","OK","midwest city","37205501300000",149568,2021,274217641,147477409,29193787,0,0,19670047,33999061,0,34345342,0,7847616,43200375,16967157,8406,94021853,35170800,119026991,30138828,448861,108826,154197791,"4048350","city of midwest city",162,"40","000","48350","00000",0,"A","midwest city city","Oklahoma",58406
"4911","OK","new cordell","37207500400000",125999,2021,1592727,250000,514534,0,0,102954,692441,392496,0,0,32798,4770171,253241,96534,1011094,1021896,5109144,0,0,0,6131040,"4051250","city of new cordell",162,"40","000","51250","00000",0,"A","new cordell city","Oklahoma",2772
"4912","OK","pauls valley","37202500500000",125617,2021,27639561,0,311665,514586,0,18101052,2047909,0,84051,0,418860,4612417,792649,0,740253,-7261018,13406337,3500346,64207,0,6145319,"4057550","city of pauls valley",162,"40","000","57550","00000",0,"A","pauls valley city","Oklahoma",6035
"4913","OH","silverton","36203103000000",98414,2021,0,3337378,0,0,0,0,0,0,0,0,0,440579,251619,0,4106247,62305,4736140,0,0,0,4798445,"3972522","village of silverton",162,"39","000","72522","00000",0,"A","silverton village","Ohio",4915
"4914","OK","waurika","37203400600000",125681,2021,2728815,420000,179517,0,0,2008522,33529,27122,0,0,0,1711996,172996,51326,759175,515852,2179641,0,0,0,2695493,"4079250","city of waurika",162,"40","000","79250","00000",0,"A","waurika city","Oklahoma",1840
"4915","OK","dewey","37207400300000",125992,2021,2185871,685000,0,171588,0,1275000,0,0,0,0,0,2066174,17652,0,1631170,418299,3296697,0,0,0,3714996,"4020550","city of dewey",162,"40","000","20550","00000",0,"A","dewey city","Oklahoma",3368
"4916","OK","woodward","37207700600000",126015,2021,40655277,0,1485077,7003769,0,26644056,5064342,0,0,0,46165,8332289,2400960,902671,12957272,1160749,23432443,0,0,0,24593192,"4082150","city of woodward",162,"40","000","82150","00000",0,"A","woodward city","Oklahoma",12127
"4917","IL","dwight township","14305300700000",92240,2021,5448,0,5448,0,0,0,0,0,0,0,0,0,0,0,382812,105316,277496,0,0,0,382812,"1721371","township of dwight",61,"17","105",NA,"21371",0,"A","dwight township","Illinois",4264
