"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","state.name","population"
"79","NY","monroe county",43310,2020,2108989000,805657000,328043000,3521000,0,53042000,271901000,0,608043000,0,0,248198000,408404000,26841000,963625000,-16095000,1663163000,0,0,0,1647068000,"36055",NA,50,"36","055",NA,"00000",0,"A","New York",759444
"80","CO","el paso county",31965,2020,802181693,0,36876174,2986553,0,0,485244387,0,138991599,0,18442054,42054543,222571602,62341385,216814711,14710704,529071537,0,0,0,543782241,"08041",NA,50,"08","041",NA,"00000",0,"A","Colorado",730402
"81","FL","polk county",32256,2020,1366570778,240683017,167107092,0,0,82482000,519641860,0,198094593,0,19968755,316787091,104462284,32880703,518042395,19269411,952903062,0,0,0,972172473,"12105",NA,50,"12","105",NA,"00000",0,"A","Florida",725041
"82","NJ","hudson county",35620,2020,1109464808,459672000,0,0,2143174,0,452267834,0,471436462,0,32690799,0,0,0,774659279,39416048,735243231,0,0,0,774659279,"34017",NA,50,"34","017",NA,"00000",0,"A","New Jersey",724857
"83","MO","jackson county",35114,2020,544917604,401917962,71189070,810791,0,0,46067941,0,5636802,0,8465885,50984346,117044306,15055237,196820068,22817836,357086121,0,0,0,379903957,"29095",NA,50,"29","095",NA,"00000",0,"A","Missouri",717206
"84","TN","davidson county",168934,2020,10106765040,4340274238,431000385,0,24118692,625609379,303734402,0,4261044596,0,97051724,503789653,521030503,80371785,1880247448,-197332415,3182771804,265887373,1284140,26567580,2985439389,"47037","metropolitan government of nashville-davidson county",50,"47","037",NA,"00000",0,"C","Tennessee",715875
"85","CO","denver county",1266289,2020,11288224000,7772948000,713552000,420341000,0,7565000,1699959000,17721000,249680000,0,197846000,1112258000,329212000,147029000,2119106000,35655000,3671950000,0,0,0,3707605000,"08031","city and county of denver",50,"08","031",NA,"00000",0,"C","Colorado",715538
"86","IL","lake county",1036299,2020,412208585,219659176,89750647,0,0,0,47434620,0,18804476,0,21525954,84345708,188738215,29686815,259190518,61721624,500239632,0,0,0,561961256,"17097",NA,50,"17","097",NA,"00000",0,"A","Illinois",714351
"87","IL","will county",32790,2020,635030409,347022621,64412446,925969,0,0,130130559,0,43959176,0,33266590,71340485,103269023,11846042,290873110,77386587,399942073,0,0,0,477328660,"17197",NA,50,"17","197",NA,"00000",0,"A","Illinois",696362
"88","NM","bernalillo county",35908,2020,802443844,253320992,87476753,0,0,0,325383442,0,96053173,0,40209486,28485850,42228681,9348178,412729190,46528057,446263842,0,0,0,492791899,"35001",NA,50,"35","001",NA,"00000",0,"A","New Mexico",676438
"89","AL","jefferson county",1265667,2020,2965742000,0,191938000,8537000,0,2518608000,0,142088000,119964000,0,22339000,260979000,96682000,21483000,410070000,-14643000,803857000,0,0,0,789214000,"01073",NA,50,"01","073",NA,"00000",0,"A","Alabama",674355
"90","OK","tulsa county",37333,2020,248720189,103982424,16143588,1688807,0,585471,101018575,0,3994591,0,6144609,40562367,141319871,4684010,142961068,112962253,216565063,0,0,0,329527316,"40143",NA,50,"40","143",NA,"00000",0,"A","Oklahoma",669272
"91","UT","utah county",39292,2020,328192274,227586021,59635967,0,0,0,24085947,0,8261379,0,6177350,80179196,0,0,252680367,261065091,71794472,0,0,0,332859563,"49049",NA,50,"49","049",NA,"00000",0,"A","Utah",659392
"92","MI","kent county",34271,2020,258942401,118742822,52041949,0,0,20300000,0,56763648,20274392,0,10260598,103959597,175675243,6262714,176806178,59811250,402892482,3271536,204298,0,462703732,"26081",NA,50,"26","081",NA,"00000",0,"A","Michigan",657984
"93","CO","arapahoe county",31951,2020,435652646,129941621,52349020,11647046,0,2664894,208374554,0,0,0,18289696,69567963,209406835,4503917,226278746,8840352,500917109,11067596,6965508,0,509757461,"08005",NA,50,"08","005",NA,"00000",0,"A","Colorado",655058
"94","PA","bucks county",37704,2020,518377250,136802892,163326805,59582763,0,132000600,2702513,0,0,0,17114411,78168198,397644414,6381242,211774949,75272488,618696315,0,0,0,693968803,"42017",NA,50,"42","017",NA,"00000",0,"A","Pennsylvania",646526
"95","NJ","monmouth county",46288,2020,2519448708,390810000,0,0,0,19500000,435741708,0,473743040,0,0,0,0,0,670942714,33082248,637860466,0,0,0,670942714,"34025",NA,50,"34","025",NA,"00000",0,"A","New Jersey",643608
"96","NJ","ocean county",35632,2020,981487997,455251000,0,0,1824093,0,320908683,0,0,0,0,0,0,0,607245768,31447626,575798142,0,0,0,607245768,"34029",NA,50,"34","029",NA,"00000",0,"A","New Jersey",637229
"97","TX","montgomery county",38639,2020,1112577123,648766931,150264813,10674041,0,0,24066035,0,253594793,0,15389794,143370975,81513686,65784276,265488545,12055257,544102225,0,0,0,556157482,"48339",NA,50,"48","339",NA,"00000",0,"A","Texas",620451
"98","KS","johnson county",44652,2020,1383005817,967409999,84745526,1975644,14781417,0,251000703,0,23868678,0,23438999,265893122,164557904,6418693,391415902,84216440,744069181,0,0,0,828285621,"20091",NA,50,"20","091",NA,"00000",0,"A","Kansas",609864
"99","TX","williamson county",44495,2020,1352794743,1139091150,92763816,0,0,0,55619549,0,59226881,0,6093347,53133045,64303593,49873724,339921021,117889430,389341953,0,0,0,507231383,"48491",NA,50,"48","491",NA,"00000",0,"A","Texas",609010
"100","FL","brevard county",32225,2020,920994570,204664734,114651332,1880957,49105318,0,414905456,0,27264556,0,33194145,240122425,107508896,23519458,393530129,78652267,686028641,0,2320173,894278,764680908,"12009",NA,50,"12","009",NA,"00000",0,"A","Florida",606603
"101","CA","san francisco",54175,2021,36525105000,19229180000,1339611000,19820000,20914000,234967000,5614021000,0,3811347000,0,421167000,3919434000,2635598000,362827000,6188949000,521077000,12585731000,0,0,0,13106808000,"0667000","city and county of san francisco",162,"06","000","67000","00000",0,"A","California",873959
"102","FL","jacksonville",32292,2021,6696965000,2234806000,408696000,0,82538000,39003000,3107155000,0,416420000,0,133140000,298890000,100593000,54297000,1622272000,-43312000,2119364000,84202000,2606000,0,2076052000,"1235000","city of jacksonville",162,"12","000","35000","00000",0,"A","Florida",949616
