"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","census_name","state.name","population","Median_Household_Income_2021"
"80","GA","marietta","11203300400000",196491,2022,260529511,62589760,28406721,0,0,11587771,93811998,0,47992669,0,5040508,173850182,4126979,17994450,39653488,33705496,201919603,0,0,0,235625099,"1349756","city of marietta",162,"13","000","49756","00000",0,"A","marietta city","Georgia",61052,NA
"81","GA","arlington","11201900400000",105144,2022,1806521,1373838,426686,0,0,5997,0,0,0,0,0,584187,58650,285374,604509,-87776,1620496,425043,0,0,1532720,"1302928","city of arlington",162,"13","000","02928","00000",0,"A","arlington city","Georgia",1210,NA
"82","GA","decatur","11204400400000",32471,2022,232173677,162775567,11704341,0,0,12132926,13348730,0,27613870,0,1314433,11533590,136100,5661415,40475114,14072530,43733689,0,0,0,57806219,"1322052","city of decatur",162,"13","000","22052","00000",0,"A","decatur city","Georgia",24927,NA
"83","GA","centerville","11207650100000",111419,2022,4954947,0,1808414,0,0,2926987,0,1532602,0,0,219546,4715155,379338,1158016,3960744,1007290,9205963,0,0,0,10213253,"1314920","city of centerville",162,"13","000","14920","00000",0,"A","centerville city","Georgia",8231,NA
"84","GA","glennville","11213200300000",70841,2022,6220848,4650266,1000968,0,0,522707,0,184346,0,0,46907,2640564,151038,897587,2178834,1123670,4744353,1915117,0,0,5868023,"1333336","city of glennville",162,"13","000","33336","00000",0,"A","glennville city","Georgia",5274,NA
"85","GA","covington","11210700100000",54212,2022,39898536,730000,16109668,0,0,3489878,13345744,0,3621695,0,1444910,97340214,586819,3867092,16251021,12311855,105733291,0,0,0,118045146,"1320064","city of covington",162,"13","000","20064","00000",0,"A","covington city","Georgia",14207,NA
"86","GA","concord","11211400100000",70793,2022,546452,0,51572,0,0,494880,0,0,0,0,0,339989,0,40042,387611,-82015,849657,0,0,0,767642,"1319168","city of concord",162,"13","000","19168","00000",0,"A","concord city","Georgia",378,NA
"87","GA","peachtree corners","11206710100000",95838,2022,16583570,12166818,3678723,0,0,0,0,0,0,0,307087,7760893,8274502,9840939,13561588,14002180,25435742,0,0,0,39437922,"1359735","city of peachtree corners",162,"13","000","59735","00000",0,"A","peachtree corners city","Georgia",42262,NA
"88","GA","royston","11205900500000",65888,2022,2882089,0,817825,0,0,1914115,67216,0,0,0,82933,4708486,92557,648292,2156352,1283863,6321824,0,0,0,7605687,"1367452","city of royston",162,"13","000","67452","00000",0,"A","royston city","Georgia",2646,NA
"89","GA","snellville","11206700900000",71002,2022,10316611,744000,8918393,0,0,98484,0,1905526,0,0,488126,8302652,525228,6194060,10592577,837023,24777494,0,0,0,25614517,"1371604","city of snellville",162,"13","000","71604","00000",0,"A","snellville city","Georgia",20575,NA
"90","GA","suwanee","11206701100000",71011,2022,36600320,31567817,3500362,0,0,1104345,0,8304737,0,0,427796,2364942,1805212,5746409,14809911,4553343,20173131,0,0,0,24726474,"1374936","city of suwanee",162,"13","000","74936","00000",0,"A","suwanee city","Georgia",20779,NA
"91","GA","buford","11206700200000",47523,2022,123606613,41347775,14801991,0,0,0,3060584,0,15510953,0,402009,93461743,5452298,7541854,33860064,-16286197,156602156,90920582,0,0,140315959,"1311784","city of buford",162,"13","000","11784","00000",0,"A","buford city","Georgia",17106,NA
"92","GA","tifton","11213700200000",92048,2022,22878075,350000,5704293,0,0,730919,971160,0,0,0,320858,21612246,120446,5837788,14205758,6655221,35121017,0,0,0,41776238,"1376476","city of tifton",162,"13","000","76476","00000",0,"A","tifton city","Georgia",17056,NA
"93","GA","toccoa","11212700200000",71028,2022,17950283,3213365,6383311,0,0,5751817,0,2254642,0,0,324790,24144371,51740,2581205,5670011,2356662,30090665,0,0,0,32447327,"1376756","city of toccoa",162,"13","000","76756","00000",0,"A","toccoa city","Georgia",9104,NA
"94","GA","tucker","11204410300000",71030,2022,11156324,0,7769746,0,0,0,0,0,0,0,107588,1890545,2455578,6786713,16130946,9671707,17592075,0,0,0,27263782,"1377652","city of tucker",162,"13","000","77652","00000",0,"A","tucker city","Georgia",37112,NA
"95","GA","hapeville","11206000600000",1266188,2022,33569555,5870000,4280269,0,0,1014192,7644197,0,12282676,0,849721,8433922,1318236,2330689,14573752,1879307,24777292,0,0,0,26656599,"1336472","city of hapeville",162,"13","000","36472","00000",0,"A","hapeville city","Georgia",6556,NA
